,model,dataset,id,CHOTA,HOTA,SEG,TRA,DET,idp,idr,idf1,mota,motp,num_switches,num_unique_objects,num_frames,num_instances,weights_x,normalized_length,normalized_instances,weights_y,normalized_weights
60,Trackmate,DynamicNuclearNet (cell nuclei) - Fluorescence,test_01,0.8440775022087533,0.8440775022087533,0.7931962256680289,0.8403463885061996,0.8591523895401263,0.9765208110992528,0.8250676284941388,0.8250676284941388,0.9891794409377818,1.0,12.0,29.0,42,29,0.07030142370809314,0.021750388399792854,0.11885245901639344,8.625241953969319,0.00815066105777364
61,Trackmate,DynamicNuclearNet (cell nuclei) - Fluorescence,test_02,0.8068167950305595,0.8068167950305595,0.7911471187270059,0.8267667935397593,0.8441093308199812,0.9308035714285714,0.7860508953817154,0.7860508953817154,0.9919886899151744,1.0,17.0,65.0,42,65,0.14407191551137186,0.021750388399792854,0.26639344262295084,8.625241953969319,0.01670352162643626
62,Trackmate,DynamicNuclearNet (cell nuclei) - Fluorescence,test_03,0.94539164943051,0.94539164943051,0.9318939930230196,0.957211032920812,0.9662962962962964,0.9921722113502937,0.9388888888888888,0.9388888888888888,0.9962962962962963,1.0,2.0,18.0,42,18,0.04776044010153577,0.021750388399792854,0.07377049180327869,8.625241953969319,0.005537286995126729
63,Trackmate,DynamicNuclearNet (cell nuclei) - Fluorescence,test_04,0.8700296344569383,0.8700296344569383,0.8441894081072441,0.8817903126916002,0.9001404494382023,0.9744,0.8553370786516854,0.8553370786516854,0.99438202247191,1.0,4.0,22.0,42,22,0.055957161413011186,0.021750388399792854,0.09016393442622951,8.625241953969319,0.006487604836089243
64,Trackmate,DynamicNuclearNet (cell nuclei) - Fluorescence,test_05,0.7689727687150596,0.7689727687150596,0.671826079813621,0.668390361976015,0.6672544080604534,1.0,0.8085642317380353,0.8085642317380353,1.0,1.0,0.0,14.0,50,14,0.041635184351945395,0.02589331952356292,0.05737704918032787,8.625241953969319,0.004827132337172868
65,Trackmate,DynamicNuclearNet (cell nuclei) - Fluorescence,test_06,0.9626927709480192,0.9626927709480192,0.9684341996141572,0.9694721221115116,0.9694174757281552,0.9950738916256158,0.9805825242718448,0.9805825242718448,0.9805825242718448,1.0,4.0,7.0,50,7,0.027290922056863426,0.02589331952356292,0.028688524590163935,8.625241953969319,0.0031640761154884704
66,Trackmate,DynamicNuclearNet (cell nuclei) - Fluorescence,test_07,0.8560296318029407,0.8560296318029407,0.8277086759150087,0.8829632184899314,0.9150712025316456,0.9230769230769232,0.7689873417721519,0.7689873417721519,0.9994066455696202,1.0,3.0,107.0,71,107,0.23764655194369688,0.03676851372345935,0.4385245901639344,8.625241953969319,0.027552450494949005
67,Trackmate,DynamicNuclearNet (cell nuclei) - Fluorescence,test_08,0.2912874711770343,0.2912874711770343,0.2992438712136668,0.3364237458674716,0.3518884827635634,0.5983190612115445,0.2703690433536367,0.2703690433536367,0.8064493013256897,1.0,2701.0,244.0,71,244,0.5183842568617296,0.03676851372345935,1.0,8.625241953969319,0.06010083654791507
68,Trackmate,DynamicNuclearNet (cell nuclei) - Fluorescence,test_09,0.5797966889806432,0.5797966889806432,0.6580609164558463,0.734953326560733,0.7679147908202482,0.6724528301886793,0.4802716688227684,0.4802716688227684,0.9277705907718844,1.0,670.0,225.0,65,225,0.4778962314608077,0.033661315380631794,0.9221311475409836,8.625241953969319,0.055406704416086645
69,Trackmate,DynamicNuclearNet (cell nuclei) - Fluorescence,test_10,0.7155237912351228,0.7155237912351228,0.6697646863263609,0.7513818833173991,0.7852075471698113,0.8996179228898923,0.6515723270440251,0.6515723270440251,0.9642767295597484,1.0,142.0,120.0,45,120,0.2575536331298656,0.02330398757120663,0.4918032786885246,8.625241953969319,0.029860453133299058
70,Trackmate,DynamicNuclearNet (cell nuclei) - Fluorescence,test_11,0.5486503166494627,0.5486503166494627,0.636450132613237,0.695656175225474,0.7234910113487998,0.6510816468946267,0.4685146128351913,0.4685146128351913,0.8625087877874862,1.0,1369.0,217.0,55,217,0.4589134568855006,0.02848265147591921,0.889344262295082,8.625241953969319,0.05320586475540082
71,Trackmate,Lysosomes - Airyscan Confocal,11-2.,0.6068627415877834,0.6068627415877834,0.8478242714356351,0.9443835208426412,0.9482898009950248,0.5931336742147553,0.5049751243781094,0.5049751243781094,0.9549129353233832,1.0,145.0,18.0,500,18,0.16635184351945392,0.2589331952356292,0.07377049180327869,8.625241953969319,0.019286629222372034
72,Trackmate,Lysosomes - Airyscan Confocal,7-2.,0.70121022554144,0.70121022554144,0.9196967963245538,0.9652501266922464,0.9717607973421928,0.6711635750421585,0.6611295681063123,0.6611295681063123,0.973421926910299,1.0,16.0,5.0,200,5,0.0620325406864701,0.10357327809425168,0.020491803278688523,8.625241953969319,0.007191976876419432
