,id,frame_id,oid,hid,score_vs_top_post,switch,score_vs_top_pre,diff_vs_top
149,group1.centroids_sample_1_6952_8452,586,6,9,-1.3404661,True,5.465134,-6.8056
150,group1.centroids_sample_1_6952_8452,600,4,9,-0.95671135,False,2.7884898,-3.745201
151,group1.centroids_sample_1_6952_8452,600,6,6,-1.0179746,False,7.7535486,-8.771523
152,group1.centroids_sample_1_6952_8452,602,4,6,-0.64477366,False,2.3689384,-3.0137122
153,group1.centroids_sample_1_6952_8452,602,6,9,-2.3167188,False,7.836287,-10.153006
154,group1.centroids_sample_1_6952_8452,603,4,9,-0.5025462,False,3.5191803,-4.0217266
155,group1.centroids_sample_1_6952_8452,603,6,6,-0.9212641,False,7.81604,-8.737304
156,group1.centroids_sample_1_6952_8452,604,4,6,-0.42854047,False,3.007113,-3.4356534
157,group1.centroids_sample_1_6952_8452,604,6,9,-2.2660937,False,7.8197517,-10.085846
158,group1.centroids_sample_1_6952_8452,606,4,9,-0.3643473,False,3.6889927,-4.05334
159,group1.centroids_sample_1_6952_8452,606,6,6,-0.7101701,False,7.830342,-8.540512
160,group1.centroids_sample_1_6952_8452,607,4,6,-0.51001453,False,2.4804783,-2.9904928
161,group1.centroids_sample_1_6952_8452,607,6,9,-2.2005563,False,7.8087564,-10.009313
162,group1.centroids_sample_1_6952_8452,637,3,7,-4.9027843,False,0.1608901,-5.0636744
163,group1.centroids_sample_1_6952_8452,637,9,3,0.0,False,0.0,0.0
164,group1.centroids_sample_1_6952_8452,639,3,3,0.0,False,0.0,0.0
165,group1.centroids_sample_1_6952_8452,639,9,7,-4.2960963,False,0.32957244,-4.6256685
166,group1.centroids_sample_1_6952_8452,908,7,7,-0.43883085,False,0.0,-0.43883085
167,group1.centroids_sample_1_6952_8452,908,9,4,-4.809997,False,0.31868815,-5.128685
168,group1.centroids_sample_1_6952_8452,1067,3,4,-3.3832593,False,0.0,-3.3832593
169,group1.centroids_sample_1_6952_8452,1067,9,3,-5.6836925,False,5.608888,-11.292581
170,group1.centroids_sample_1_6952_8452,1148,4,9,-9.434804,False,7.509622,-16.944426
171,group1.centroids_sample_1_6952_8452,1148,6,6,-4.2361617,False,5.3656645,-9.601826
172,group1.centroids_sample_1_6952_8452,1254,4,7,-6.0787134,False,3.8596506,-9.938364
173,group1.centroids_sample_1_6952_8452,1254,5,9,-3.3516183,False,1.3214344,-4.673053
174,group1.centroids_sample_1_6952_8452,1254,7,5,-0.8834586,False,0.0,-0.8834586
175,group1.centroids_sample_1_6952_8452,1257,1,7,-7.870232,False,4.999436,-12.869668
176,group1.centroids_sample_1_6952_8452,1257,4,1,-0.7395103,False,0.9072263,-1.6467366
177,group1.centroids_sample_1_6952_8452,1259,1,1,-1.7695932,False,3.5586648,-5.328258
